Study	Method	Genus	Species	Calibration material	Wood porosity	Diameter	k	SFD	Granier
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0	0	0
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0	0.222924787	0
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0	0.439292784	0
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0	0.675331153	0
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.010363989	0.609764988	0.154512317
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.053693924	1.062175714	1.170542838
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0	1.488354044	0
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.133542079	0.931039895	3.59323305
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.111642508	1.088397646	2.882223676
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.10701634	1.416228472	2.735914541
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.125602742	1.862079791	3.332095051
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.006395965	2.170237628	0.085294266
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.008259855	2.419393939	0.116853717
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.029843137	2.747224766	0.568045346
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.052287825	2.858687595	1.132923479
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.016616092	3.120950512	0.276261609
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.037048058	4.222463484	0.741309789
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.086245953	4.255243078	2.097702202
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.028153424	5.120715064	0.528715936
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.190187102	4.458495749	5.552919119
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.218441642	4.86500981	6.585236538
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.20659512	5.140388053	6.148402006
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.177871499	5.56000872	5.113642904
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.168601116	6.609069108	4.787564857
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.20293551	6.694301286	6.014606497
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.23985891	6.163217789	7.38882058
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.271306292	6.556616525	8.59881404
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.324733154	7.205720514	10.72849357
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.259155122	7.664678439	8.127211685
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.285603431	7.91383475	9.159973839
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.255768916	8.117087421	7.996686287
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.40513997	7.428646174	14.08676695
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.356070268	8.40558099	12.01683017
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.334911469	8.700623501	11.14392849
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.333695329	9.172705472	11.0941356
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.398197119	9.41530412	13.79018967
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.363689914	10.32666231	12.33416176
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.356680966	10.73974275	12.04220624
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.361302703	11.22494005	12.23457598
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.332770293	11.02166994	11.05628951
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.348832518	11.53965555	11.71685197
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.475209363	11.37571397	17.14331807
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.380456123	12.6411162	13.03780249
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.393016218	13.00832788	13.56965337
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.433593063	12.79197733	15.31432309
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.446909916	12.90996294	15.89535644
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.442820617	13.32304338	15.71650316
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.441325082	13.54593416	15.65118814
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.475089577	13.1853499	17.13799869
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.529707758	12.4707216	19.59468062
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.43794433	14.27373011	15.50372793
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.457827651	14.64094179	16.37471114
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.485850489	14.98190538	17.61709178
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.469500952	15.06710268	16.89016787
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.464730029	15.42768694	16.67913669
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.44522022	16.05057772	15.82140833
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.516783078	14.33276651	19.00780467
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.535267973	14.1294964	19.84817964
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.560560873	14.77863527	21.0089383
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.497611852	17.16520602	18.14353608
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.505020892	19.18465228	18.47665141
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.55886105	19.42725093	20.93054284
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.543913653	22.37776324	20.24355788
Braun and Schmid 1999	TD	Vitis	Vitis vinifera	whole plant	Ring-porous	3.75	0.567058032	22.48920863	21.30909091
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.132396	1.17848268	3.555309555
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.189154	4.9817016	5.515811033
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.143656	6.316272	3.931108427
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.155324	7.1236188	4.327769653
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.173225	7.9053696	4.94970224
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.232416	5.5594908	7.107599299
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.258876	7.227702	8.116437618
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.389698	10.2714984	13.42875802
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.3459	12.8694492	11.5957169
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.472316	14.346522	17.01491814
Cabibel et al. 1991	TD	Malus	Malus domestica	stem segment	Diffuse-porous	NA	0.500323	17.9023572	18.2652991
